entity,channel_id,platform,channel_name,channel_uid,handle,link,,,,
Shell,7637754,Facebook,Shell,200969413280005,Shell,https://facebook.com/200969413280005,,,,
Shell,14850972,Facebook,Shell,470319116713955,ShellSGP,https://facebook.com/470319116713955,,,,
Shell,3755689,Facebook,Shell USA,102915374460262,ShellUSA,https://facebook.com/102915374460262,,,,
ExxonMobil,1099984,Facebook,ExxonMobil,925007000949719,ExxonMobil,https://facebook.com/925007000949719,,,,
BP,2962552,Facebook,bp,345463602161853,bp,https://facebook.com/345463602161853,,,,
ExxonMobil,11284255,Facebook,Mobil 1,10628463469,Mobil1,https://facebook.com/10628463469,,,,
BP,2962557,Facebook,bp America,97279934919,bpAmerica,https://facebook.com/97279934919,,,,
Shell,2958953,YouTube,Shell,UCRLOjeT82M_8CyLj0BqvRaQ,shell,https://www.youtube.com/channel/UCRLOjeT82M_8CyLj0BqvRaQ,,,,
Shell,2959027,Twitter,Shell,Shell,Shell,https://www.twitter.com/Shell,,,,
Shell,23655289,InstagramDirect,Shell,588282712,shell,https://www.instagram.com/shell/,,,,
ExxonMobil,2959017,Twitter,ExxonMobil,exxonmobil,exxonmobil,https://www.twitter.com/exxonmobil,,,,
ExxonMobil,11284092,YouTube,Mobil,UCna89l5-KbDF15MxaAtYxyA,mobil,https://www.youtube.com/channel/UCna89l5-KbDF15MxaAtYxyA,,,,
Shell,7573982,Twitter,Shell USA,Shell_USA,Shell_USA,https://www.twitter.com/Shell_USA,,,,
ExxonMobil,2958952,YouTube,ExxonMobil,UCvNc3rg1Aa9wSPECYWEfcPg,exxonmobil,https://www.youtube.com/channel/UCvNc3rg1Aa9wSPECYWEfcPg,,,,
API,2962596,Facebook,The American Petroleum Institute,67945990059,TheAmericanPetroleumInstitute,https://facebook.com/67945990059,,,,
BP,10596237,Twitter,bp America,bp_America,bp_America,https://www.twitter.com/bp_America,,,,
BP,23655282,InstagramDirect,bp,547123113,bp_plc,https://www.instagram.com/bp_plc/,,,,
API,29651258,Facebook,Power Past Impossible,263313883684932,PowerPastImpossible,https://facebook.com/263313883684932,,,,
ExxonMobil,23655281,InstagramDirect,ExxonMobil,2460241138,exxonmobil,https://www.instagram.com/exxonmobil,,,,no data to export
BP,2959003,Twitter,bp,bp_plc,bp_plc,https://www.twitter.com/bp_plc,,,,
BP,2958934,YouTube,bp,UC9m-Yl4kfv8nIriI7Ry8CxA,bpplc,https://www.youtube.com/channel/UC9m-Yl4kfv8nIriI7Ry8CxA,,,,
API,2958987,Twitter,American Petroleum Institute,APIenergy,APIenergy,https://www.twitter.com/APIenergy,,,,
ExxonMobil,11284259,Facebook,Exxon & Mobil Stations,296802440656216,ExxonandMobilStations,https://facebook.com/296802440656216,,,,
ExxonMobil,11284090,YouTube,Mobil 1,UCn1czYaJp1rMjTXQpUazfAA,OfficialMobil1,https://www.youtube.com/channel/UCn1czYaJp1rMjTXQpUazfAA,,,,
Shell,22721416,InstagramDirect,Shell Stations,46071727,shellstationsus,https://www.instagram.com/shellstationsus/,,,,
Shell,7574002,Twitter,Shell Natural Gas,Shell_NatGas,577176707,https://www.twitter.com/Shell_NatGas,,,,
Shell,26555779,InstagramDirect,Shell Eco-marathon,3463579584,shell_ecomarathon,https://www.instagram.com/shell_ecomarathon/,,,,
BP,10640308,Twitter,bp Press,bp_Press,bp_Press,https://www.twitter.com/bp_Press,,,,
Shell,7637753,Facebook,Shell Energy,483680375497477,ShellEnergy,https://facebook.com/483680375497477,,,,
API,4262057,Facebook,API Global,100069426870170,OfficialAPIGlobal,https://facebook.com/100069426870170,,,,
API,26555868,InstagramDirect,American Petroleum Institute,425945262,americanpetroleum,https://www.instagram.com/americanpetroleum,,,,
API,10637856,Twitter,API,API_News,API_News,https://www.twitter.com/API_News,,,,
API,10603133,Twitter,PowerPastImpossible,powerimpossible,powerimpossible,https://www.twitter.com/powerimpossible,,,,
API,3667888,YouTube,The American Petroleum Institute,UCyGNHrMe9t9c3rjYmMdbkTw,TheAmericanPetroleumInstitute,https://www.youtube.com/channel/UCyGNHrMe9t9c3rjYmMdbkTw,,,,
ExxonMobil,10596162,Twitter,ExxonMobil LNG,ExxonMobil_LNG,ExxonMobil_LNG,https://www.twitter.com/ExxonMobil_LNG,,,,
ExxonMobil,11284074,Twitter,ExxonMobil Foundation,XOMFoundation,1543469672,https://www.twitter.com/XOMFoundation,,,,
Shell,10682600,Twitter,Shell Energy Home UK,ShellEnergyHome,ShellEnergyHome,https://www.twitter.com/ShellEnergyHome,,,,
ExxonMobil,26169673,InstagramDirect,Exxon & Mobil Stations,45744863325,exxonmobilstations,https://www.instagram.com/exxonmobilstations/,,,,
ExxonMobil,11284087,YouTube,Exxon & Mobil Fuels,UCi6N8GI2R3eOqo2pVAVh34g,ExxonMobilFuels,https://www.youtube.com/channel/UCi6N8GI2R3eOqo2pVAVh34g,,,,
API,16309383,YouTube,Power Past Impossible,UCBnVABZq-aBdI5jeBjm5o4A,powerpastimpossible,https://www.youtube.com/channel/UCBnVABZq-aBdI5jeBjm5o4A,,,,
ExxonMobil,11284091,YouTube,mobilindustrial,UCvY7M_KYq5y8PC7Qv6LkBEQ,mobilindustrial,https://www.youtube.com/channel/UCvY7M_KYq5y8PC7Qv6LkBEQ,,,,
ExxonMobil,10656733,Twitter,ExxonMobil Chemical,XOM_Chemical,XOM_Chemical,https://www.twitter.com/XOM_Chemical,,,,
API,2958988,Twitter,API Global Industry Services,APIGlobal,APIGlobal,https://www.twitter.com/APIGlobal,,,,
ExxonMobil,11284093,YouTube,OfficialMobilDelvac,UCUGHMtuuudTWIQvpwJhCeFQ,,https://www.youtube.com/channel/UCUGHMtuuudTWIQvpwJhCeFQ,,,,
ExxonMobil,3537499,YouTube,ExxonMobil Marine,UCyx0bjM5ww3NcHcELvKO-ZQ,ExxonMobilMarine,https://www.youtube.com/channel/UCyx0bjM5ww3NcHcELvKO-ZQ,,,,
API,2958932,YouTube,API Global,UCitegkCxi2r-GGJRabGpRKg,APIGlobal,https://www.youtube.com/channel/UCitegkCxi2r-GGJRabGpRKg,,,,
Shell,10730528,Twitter,Shell Aviation,Shell_Aviation,Shell_Aviation,https://www.twitter.com/Shell_Aviation,,,,
API,26555775,InstagramDirect,Power Past Impossible,4510632366,powerpastimpossible,https://www.instagram.com/powerpastimpossible/,,,,no data to export
Shell,22721449,InstagramDirect,Shell Energy USA,53005215683,shellenergy_usa,https://www.instagram.com/shellenergy_usa/,,,,
ExxonMobil,11284088,YouTube,ExxonMobil Chemical,UCwTJmkKiK741l86GvtTUjKg,ExxonMobilChemical,https://www.youtube.com/channel/UCwTJmkKiK741l86GvtTUjKg,,,,