uid,post_body_text,primary_product,petrochemical_product,ff_infrastructure_OR_production,green_message,renewable_energy,emissions_reduction,false_solutions,recycling,green,brown,misc
t-S8qD7wIu4,ExxonMobil's Tze San Koh explains how natural gas is supporting a brighter future.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
JDoXJTzZH34,Subscribe now: https://www.youtube.com/user/exxonmobil?sub_confirmation=1 We're committed to supporting our health ...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
b9zueiSUSJc,ExxonMobil is working with Bridger Photonics to use LiDAR technology to detect methane leaks. This groundbreaking technology ...,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
jxnY1qYx_mk,"ExxonMobil is committed to reducing emissions. With our innovative energy solutions and our transformative research, we are ...",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
iZtmqtYquIs,"Learn more about ExxonMobil in Thailand which include upstream, downstream, chemicals and global business center via the ...",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
80BtJQB7Gd4,"How do you reduce methane gas emissions? Learn how Project Astra, ExxonMobil's partnership with the University of Texas, Gas ...",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
i9q1hrYg2Rg,Across the world more than one billion people live in a state of energy poverty. Access to reliable and safe energy helps improve ...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
25wgcJGN7QU,We're helping those on the front lines of fighting the pandemic with critical supplies. We're #AllTogether in this.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
inb3ARyVki4,ExxonMobil is committed to helping our communities throughout the COVID-19 crisis. Watch how. Subscribe now: ...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
5-KnlZctDS4,"Join Sebastien Ferard, NDG process manager and operations director at ExxonMobil Gravenchon, as he explores the Women's ...",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
tqD8M-dnbVk,"The racetrack has always been the testing ground for innovation, and that's especially true with a new breed of racing. Formula E ...",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
dR8ohjROlok,"To celebrate another year of energy innovation, take a look at the iconic and high-energy celebration at Times Square. Read more ...",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
EFPSCA0aubg,Learn how a pipeline is constructed. Subscribe now: https://www.youtube.com/user/exxonmobil?sub_confirmation=1 There is ...,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
iUjyo1Guk7o,We sat down with four women in leadership roles across ExxonMobil to ask them to share their insights and advice.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Jew_YR3KEKw,Apply here and boost your IT career with ExxonMobil Buenos Aires ...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
wsv_g4NVVQg,Exciting career opportunities with EMIT at ExxonMobil Canada. Get to know more about us through virtual information session and ...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE